Version 1.7 (07.12.21),Discussion groupe & AIDE,,PROXIMITE,,Pathologies cardio vasculaires,,,,,,,,,,,,Pathologies digestives,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathologies infectieuses,,Pathologies rhumatologiques + systémique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathologies neurologiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathologies gynécologiques,,,,,,,,,,,,Pathologies uro et néphrologiques,,,,
,Groupement,Symptômes/maladies,possible,proche,AVC,Angor stable,Infarctus du myocarde,Artériopathie oblitérante des membres inférieurs,Thrombose veineuse profonde,Péricardite aigüe,Péricardite chronique,Dissection de l'aorte thoracique,Insuffisance ventriculaire gauche,Insuffisance ventriculaire droite,Syndrome des loges,Embolie pulmonaire,Gastrite chronique,Ulcère gastro-duodénal,Reflux gastro-œesophagien,Cancer du foie,Cancer du pancréas,Maladie des spasmes diffus,Syndrome du péristaltisme douloureux ,Cancer de l'œsophage,Pancréatite chronique,Pancréatite aigue,Cirrhose,Appendicite,Cancer côlo-rectal,Cholecystite aiguë,Hépatite virale,Colopathie fonctionnelle,Diverticulite,Oesophagite,Ischémie mésentérique chronique,Ischémie mésentérique aiguë,Rectocolite hemorragique,Maladie de Crohn,Appendicite,Syndrome occlusif,Gastro-entérite,Maladie de Whipple,Maladie coeliaque,Cancer de l'estomac,Tuberculose,Méningite,Maladie de Haglund,Syndrome du sinus du tarse,Conflit talien postérieur,Conflit talien antérieur,Maladie de Freiberg,Maladie de Sever,Arthrite idiopathique juvénile,Épiphysiolyse de hanche,Arthrite septique localisée au genou,Arthrite septique localisée à la hanche,Rhume de hanche,Maladie de Legg-Calvé-Perthes,Maladie de Sinding Larsen,Maladie d'Osgood Schlatter,Kyste poplité,Maladie de Lyme,Sarcoïdose,Sclérodermie,Lupus érythémateux disséminé,Maladie de Horton,Maladie de Behçet,Maladie de Gougerot Sjögren,Polymyosite,Tendinopathie du supra-épineux,Tendinopathie du moyen fessier,Syndrome de l'essuie-glace,Tendinopathie des fibulaires,Tendinopathie des épicondyliens médiaux,Tendinopathie des épicondyliens latéraux,Tendinopathie de la patte d'oie,Tendinopathie quadricipitale distale,Tendinopathie quadricipitale proximale,Lésion labrale de l'épaule,Lésion labrale de la hanche,Lésion méniscale du genou,Syndrome de Cyriax,Syndrome de Tietze,Maladie de Scheuermann,Maladie de Paget,Ostéoporose pathologique,Ostéomalacie,Spondylolisthésis,Spondylodiscite,Maladie de König,Pseudo polyarthrite rhizomélique ,Rhumatisme apatitique,Goutte,Capsulite rétractile,Syndrome douloureux régional complexe,Tumeur osseuse ou articulaire maligne,Tumeur osseuse ou articulaire bénigne,Fracture carpienne,Fracture métatarsienne,Fracture du plateau tibial,Fracture du col fémoral,Ostéonécrose aseptique de la tête fémorale,Chondrocalcinose,Polyarthrite rhumatoïde ,Maladie de Forestier,Rhumatisme articulaire aigu (RAA),Arthrite réactionnelle post-streptocoque A (ARPS),Syndrome Fiessinger-Leroy-Reiter,Rhumatisme psoriasique,Spondylarthrite ankylosante,Processus expansif intracrânien,Sinusite aiguë,Adénome hypophysaire,Glaucome aigu,Poussée d'hypertension artérielle,Algie vasculaire de la face,Migraine,Céphalée de tension,Névralgie trigéminale,Névralgie occipitale,Syndrome du canal carpien,Lésion radiculaire S1,Lésion radiculaire L5,Lésion radiculaire C7,Lésion radiculaire C6,Lésion radiculaire C5,Syndrome de Wartenberg,Syndrome de la loge de Guyon,Syndrome du tunnel radial,Syndrome de la traversée thoraco-brachiale,Syndrome canalaire du nerf sciatique,Syndrome canalaire du nerf fibulaire commun,Syndrome canalaire du nerf cutané latéral de la cuisse,Syndrome canalaire du nerf fémoral,Syndrome canalaire du nerf obturateur,Syndrome canalaire du nerf pudendal,Syndrome canalaire du nerf ilio-inguinal,Syndrome canalaire du nerf tibial,Syndrome des jambes sans repos,Polyneuropathie paranéoplasique (Denny-Brown),Polyneuropathie du diabétique,Maladie de Charcot-Marie-Tooth,Myasthénie,Syndrome de Guillain Barré,Zona costal,Processus compressif médullaire/radiculaire lombaire,Processus compressif médullaire thoracique,Processus compressif médullaire cervical,Infarctus médullaire,Myélite transverse,Sclérose en plaques,Maladie de Ménière,Névrite vestibulaire,VPPB,Labyrinthite,Otospongiose,Fistule péri-lymphatique,Schwanome du VIII,Affection ototoxique,Grossesse extra utérine,Salpingite,Cancer des ovaires,Cancer col de l’utérus,Fibrome utérin,Torsion testiculaire,Cancer testiculaire,Prostatite chronique,Prostatite aiguë,Hypertrophie bénigne de la prostate,Cancer de la prostate,Cancer de la vessie,Pyélonéphrite aiguë,Cystite,Colique néphrétique,Cancer du rein,Glomérulonéphrite aiguë
Motif : ,Sexe :,femme,,,40,50,50,50,50,50,50,30,50,50,40,50,50,50,50,30,50,,,,,20,,50,50,60,40,2,,,,,,,4,50,50,20,3,20,,50,30,50,50,50,80,60,50,1,50,50,30,30,30,30,50,50,50,3,10,2,2,90,50,,,30,30,50,50,20,20,40,,,50,50,70,,,,,,,20,70,50,20,70,,,,,,,80,50,60,80,40,50,50,40,50,25,1,1,1,1,1,1,2,3,3,3,4,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,3,2,1,1,3,1,50,1,1,1,1,2,2,50,50,65,50,2,50,50,50,100,100,,100,100,,,,,,,,80,95,50,30,50
,Sexe :,homme,,,60,50,50,50,50,50,50,70,50,50,60,50,50,50,50,70,50,,,,,30,,50,50,40,60,1,,,,,,,5,50,50,80,1,80,,50,70,50,50,50,20,50,50,2,50,50,70,70,70,70,50,50,50,1,1,3,1,10,50,,,70,70,50,50,80,80,60,,,50,50,30,,,,,,,80,30,50,80,30,,,,,,,20,50,40,20,60,50,50,60,50,75,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,50,1,1,1,1,1,1,50,50,35,50,1,50,50,50,,,,,,100,100,100,100,100,100,,20,5,50,70,50
,Agé(e) entre,3 et 12 ans,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,40,20,,10,,,30,,,,,,80,70,20,60,40,100,100,20,20,20,10,,,,,,,,,,,,,,,,,,,,5,,,,,,,,30,,,,,,,,,,,,10,,,,50,50,50,,,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,,,,,,,,,30,,,,,,,10,10,,,50
,Agé(e) entre,12 et 18 ans,,,,,,,,20,,,,,10,,,,,,,,,,,,,,,,5,4,,,,,,,50,10,20,,30,,,10,100,100,100,100,40,20,30,80,20,20,,,80,80,30,30,,5,10,,5,,,,,10,10,10,10,100,100,100,,,50,10,10,,,,,,,65,,,,,,,,,,,,50,,,,40,40,40,80,80,5,30,,,,30,20,25,,,,,,,,,,,,,5,5,,,,,,5,20,,,40,,10,,10,10,10,,5,,,10,,5,,5,,5,5,5,,,,50,,,,,,,30,30,10,,30
,Agé(e) entre,18 et 35 ans,,,1,5,1,,20,30,5,,5,5,40,5,10,10,10,,,,,,,20,,,,5,40,50,,,,,,,5,,20,30,30,,,10,100,100,100,100,20,,,,10,10,,,,,100,40,30,35,60,,60,10,50,,,30,30,30,30,100,100,100,,,100,60,60,,,,,,,5,,10,,20,,,,,,,,30,,10,,10,10,10,100,100,5,10,10,,,55,50,50,10,60,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,50,30,,50,10,30,10,10,10,10,,20,50,10,10,5,10,5,10,5,10,50,50,,20,,20,40,30,30,,,,40,40,20,,10
,Agé(e) entre,35 et 55 ans,,,5,20,5,5,30,50,50,30,15,15,40,30,30,30,30,10,,,,,,40,,,15,10,30,30,,,,,,,2,10,20,50,5,5,,10,100,100,100,100,20,,,,10,10,,,,,100,40,60,60,30,,45,50,50,,,50,50,50,50,100,100,100,,,100,20,20,,,,,,,,,30,30,50,,,,,,,,,,70,,,,,80,80,30,10,40,40,50,15,10,20,50,30,50,50,50,50,50,50,50,10,10,20,20,20,20,20,20,20,20,20,20,50,20,10,30,30,30,20,20,20,10,20,20,50,10,40,40,50,10,50,10,30,50,,30,20,,60,30,30,30,30,,10,10,30,10,
,Agé(e) entre,55 et 70 ans,,,30,40,30,30,40,70,30,70,50,50,5,40,40,40,40,60,,,,,,20,,,45,25,,15,,,,,,,2,40,20,20,1,80,,10,100,100,100,100,,,,,30,30,,,,,100,30,10,,,50,,30,,,,10,10,10,10,100,100,100,,,100,5,10,,,,,,,,10,50,30,20,,,,,,,40,,30,100,100,,,,,,30,10,40,50,40,,10,5,40,10,30,30,30,30,30,30,30,10,10,10,10,10,10,10,10,10,10,10,20,40,60,,30,30,50,30,30,30,50,10,,40,10,20,40,20,10,35,10,,,,,40,,,30,30,50,50,,10,10,20,70,10
,Agé(e) entre,70 ans et plus,,,70,70,70,80,50,30,10,20,60,60,5,50,30,30,30,30,,,,,,10,,,40,60,,2,,,,,,,2,,,,,15,,20,,,,,,,,,40,40,,,,,100,5,,,,50,,10,,,,,,,,,,,,,80,,,,,,,,,,90,20,40,10,,,,,,,60,,70,100,100,,,,,,,,10,10,10,,,,,,20,20,20,20,20,20,20,5,5,5,5,5,5,5,5,5,5,5,,,80,,20,5,60,20,20,20,40,5,,20,10,10,10,5,5,10,10,,,,,40,,,10,10,20,20,,,,20,20,
,Motif :,céphalée (crâne),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,100,,100,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,céphalée (face),,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,cervicalgie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,polyarthralgie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,60,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur thoracique latérale,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur thoracique antérieure,,,,70,70,,,100,,100,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,dorsalgie haute (T1 à T6),,,,30,30,,,5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,dorsalgie basse (T6 à T12),,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,60,,30,80,
,Motif :,lombalgie,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,20,,,10,10,,,,40,,50,20,
,Motif :,douleur face supérieure d'épaule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face postérieure d'épaule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face antérieure d'épaule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur diffuse à l'épaule,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face latérale de coude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face médiale de coude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face latérale de poignet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face médiale du poignet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face antérieure de poignet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur diffuse au poignet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur diffuse à la cheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,10,20,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur sur la face supérieure du pied/cheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,douleur face latérale de cheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face postérieure de pied/cheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face médiale de cuisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,face antérieure de cuisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face postérieure de cuisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur inguinale / face antérieure de hanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,100,100,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face latérale de hanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur périnéale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face postérieure de genou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face antérieure de genou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,100,100,,,,,,,,,,,,,,,,,100,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face latérale de genou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face médiale de genou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,70,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
